ID,QUEUE_ID,CU,CPU_USAGE,MEM_USAGE,LAUNCHING_JOB_NUMS,RUNNING_JOB_NUMS,SUCCEED_JOB_NUMS,CANCELLED_JOB_NUMS,FAILED_JOB_NUMS,DOTTING_TIME,DISK_USAGE,QUEUE_TYPE_general,QUEUE_TYPE_spark,QUEUE_TYPE_sql
1,297,16,60,69,0,5,5,0,0,2022-09-03 13:57:00,9,0,0,1
1,297,16,58,69,0,9,4,0,0,2022-09-03 14:02:00,9,0,0,1
1,297,16,80,67,0,9,1,0,0,2022-09-03 14:07:00,9,0,0,1
1,297,16,100,65,0,7,2,0,1,2022-09-03 14:12:00,9,0,0,1
1,297,16,98,67,0,10,3,0,1,2022-09-03 14:17:00,9,0,0,1
2,85153,64,56,91,0,0,0,0,0,2021-02-18 13:46:00,20,1,0,0
2,85153,64,48,78,0,1,1,0,0,2021-02-18 13:51:00,20,1,0,0
2,85153,64,23,35,0,0,0,0,0,2021-02-18 13:56:00,20,1,0,0
2,85153,64,68,61,0,0,0,0,0,2021-02-18 14:01:00,20,1,0,0
2,85153,64,38,74,0,0,0,0,0,2021-02-18 14:06:00,20,1,0,0
3,297,16,2,41,0,6,1,0,2,2022-06-16 12:49:00,9,0,0,1
3,297,16,5,42,0,6,2,0,1,2022-06-16 12:54:00,9,0,0,1
3,297,16,3,43,0,6,3,0,0,2022-06-16 12:59:00,9,0,0,1
3,297,16,80,68,0,8,2,0,0,2022-06-16 13:04:00,9,0,0,1
3,297,16,90,82,0,8,2,0,0,2022-06-16 13:09:00,9,0,0,1
4,297,16,3,34,0,1,6,0,2,2021-10-05 04:58:00,9,0,0,1
4,297,16,37,46,0,9,1,0,0,2021-10-05 05:03:00,9,0,0,1
4,297,16,90,71,0,9,1,0,0,2021-10-05 05:08:00,9,0,0,1
4,297,16,64,72,0,6,2,0,1,2021-10-05 05:13:00,9,0,0,1
4,297,16,68,68,0,9,2,0,0,2021-10-05 05:18:00,9,0,0,1
5,291,1024,3,9,0,0,12,0,0,2020-09-05 16:35:00,26,0,0,1
5,291,1024,0,10,0,0,0,0,0,2020-09-05 16:40:00,26,0,0,1
5,291,1024,1,10,0,0,3,0,0,2020-09-05 16:45:00,26,0,0,1
5,291,1024,0,10,0,0,0,0,0,2020-09-05 16:50:00,26,0,0,1
5,291,1024,1,10,0,0,0,0,0,2020-09-05 16:55:00,26,0,0,1
6,21487,64,11,46,0,2,7,0,0,2020-09-05 05:27:00,20,0,0,1
6,21487,64,5,47,0,1,2,0,0,2020-09-05 05:32:00,20,0,0,1
6,21487,64,4,47,0,1,7,0,0,2020-09-05 05:37:00,20,0,0,1
6,21487,64,8,46,0,1,1,0,0,2020-09-05 05:42:00,20,0,0,1
6,21487,64,8,46,0,1,3,0,0,2020-09-05 05:47:00,20,0,0,1
7,297,16,32,51,0,5,4,0,1,2023-06-25 11:04:00,9,0,0,1
7,297,16,84,78,0,7,0,0,1,2023-06-25 11:09:00,9,0,0,1
7,297,16,52,80,0,6,1,0,2,2023-06-25 11:14:00,9,0,0,1
7,297,16,31,80,0,7,2,0,1,2023-06-25 11:19:00,9,0,0,1
7,297,16,32,77,0,8,1,0,0,2023-06-25 11:24:00,9,0,0,1
8,85265,64,0,26,200,5,3,0,1,2020-09-24 17:42:00,29,0,0,1
8,85265,64,2,26,200,49,3,0,1,2020-09-24 17:47:00,29,0,0,1
8,85265,64,0,26,200,49,3,0,2,2020-09-24 17:52:00,29,0,0,1
8,85265,64,0,26,200,49,3,0,1,2020-09-24 17:57:00,29,0,0,1
8,85265,64,1,26,199,49,3,1,3,2020-09-24 18:02:00,29,0,0,1
9,4,16,3,76,0,0,0,0,0,2020-08-27 20:35:00,20,1,0,0
9,4,16,2,76,0,0,0,0,0,2020-08-27 20:40:00,20,1,0,0
9,4,16,3,76,0,0,0,0,0,2020-08-27 20:45:00,20,1,0,0
9,4,16,2,76,0,0,0,0,0,2020-08-27 20:50:00,20,1,0,0
9,4,16,2,76,0,0,0,0,0,2020-08-27 20:55:00,20,1,0,0
10,21487,64,10,63,0,35,109,0,0,2021-01-10 00:36:00,29,0,0,1
10,21487,64,23,69,0,28,107,0,0,2021-01-10 00:41:00,29,0,0,1
10,21487,64,14,73,0,21,98,0,0,2021-01-10 00:46:00,29,0,0,1
10,21487,64,22,73,0,5,87,0,1,2021-01-10 00:51:00,29,0,0,1
10,21487,64,39,67,0,4,28,0,0,2021-01-10 00:56:00,29,0,0,1
11,297,16,50,67,0,5,4,0,0,2021-08-26 09:20:00,9,0,0,1
11,297,16,69,64,0,6,4,0,0,2021-08-26 09:25:00,9,0,0,1
11,297,16,2,64,0,4,4,0,0,2021-08-26 09:30:00,9,0,0,1
11,297,16,2,64,0,7,2,0,0,2021-08-26 09:35:00,9,0,0,1
11,297,16,2,47,0,6,4,0,0,2021-08-26 09:40:00,9,0,0,1
12,2,16,4,65,0,0,0,0,0,2020-09-17 06:36:00,26,0,0,1
12,2,16,5,65,0,0,0,0,0,2020-09-17 06:41:00,26,0,0,1
12,2,16,3,65,0,0,0,0,0,2020-09-17 06:46:00,26,0,0,1
12,2,16,3,65,0,0,0,0,0,2020-09-17 06:51:00,26,0,0,1
12,2,16,3,65,0,0,0,0,0,2020-09-17 06:56:00,26,0,0,1
13,81221,16,10,40,3,6,62,0,0,2020-08-12 19:23:00,19,1,0,0
13,81221,16,3,40,3,2,1,0,1,2020-08-12 19:28:00,19,1,0,0
13,81221,16,2,40,3,4,3,0,0,2020-08-12 19:33:00,19,1,0,0
13,81221,16,4,40,3,4,3,0,0,2020-08-12 19:38:00,19,1,0,0
13,81221,16,4,40,3,2,5,0,0,2020-08-12 19:43:00,19,1,0,0
14,297,16,3,57,0,3,2,0,1,2023-09-19 15:40:00,9,0,0,1
14,297,16,3,50,0,6,1,0,1,2023-09-19 15:45:00,9,0,0,1
14,297,16,4,49,0,5,1,0,2,2023-09-19 15:50:00,9,0,0,1
14,297,16,2,50,0,6,0,0,0,2023-09-19 15:55:00,9,0,0,1
14,297,16,55,61,0,6,155,0,8,2023-09-19 16:00:00,9,0,0,1
15,21487,64,3,61,0,0,0,0,0,2020-09-01 21:18:00,20,0,0,1
15,21487,64,3,61,0,0,0,0,0,2020-09-01 21:23:00,20,0,0,1
